SMILES,proteinID,ligandID,mean,median,max,min,var
N#CC1=CC=CC=C1C1=CC=C(C(=O)NC2=NN=NN2CC2=CC=C(F)C=C2)C=C1,7RDY-zinc,306,-8.188636363636364,-8.6,-6.9,-8.7,0.518949843260186
O=C(NC1=CC=CC=C1)C1=CC=C(NCC2=NOC(COC3=CC=CC=C3F)=C2)N=N1,7RDY-no-extra,311,-8.182954545454546,-8.4,-6.7,-8.8,0.4612003657262274
N#CC1=CC(CC2=CN=C(NC(=O)CNC(=O)C3=C(O)C4=CC=CC=C4N=C3)S2)=CC=C1,7RDY-zinc,950,-8.180681818181817,-8.0,-7.0,-8.7,0.1627259665621732
CC1=CC=C(F)C(N2CCCC(NC(=O)COC3=CC=CC(OC4=CC=CC=N4)=C3)C2=O)=C1,7RDY-no-extra,584,-8.180681818181817,-8.25,-7.1,-8.9,0.226404127481714
COC(=O)C1=CC(F)=C(C2=NOC(C3=CC(=O)NC4=CC(F)=CC=C34)=N2)C(F)=C1,7RDY-no-extra,836,-8.176136363636363,-8.149999999999999,-7.6,-8.5,0.0489642110762797
CN1C=CC2=CC(NC(=O)C3=NOC(COC4=CC=C(F)C=C4)=C3)=CC=C2C1=O,7RDY-zinc,670,-8.17159090909091,-8.2,-7.1,-8.4,0.0209077847439917
O=C(NCC1=CC=C2C=CC(=O)NC2=N1)C1=CC=CC=C1OC1=CC=C(F)C=C1,7RDY-no-extra,313,-8.169318181818182,-8.3,-7.4,-8.8,0.2354845872518294
O=C(NC1=CC=C(F)C=C1)C1=CC=CC(NCC2=NN(C3=CC=CC=C3)C=N2)=N1,7RDY-zinc,466,-8.168181818181818,-8.1,-7.0,-8.8,0.2196656217345874
O=C(NCC1=NOC(COC2=CC=CC=C2F)=C1)NC1=CC=CC=C1CN1C=CC=N1,7RDY-zinc,178,-8.168181818181818,-8.4,-7.1,-8.8,0.2805851619644723
NC(=O)C1=CC(NC(=O)C2=CC=CC(CC3=CC=CC=N3)=C2)=NC2=CC=CC=C12,7RDY-zinc,765,-8.167045454545455,-8.3,-7.1,-9.3,0.4164877220480679
